State/Area,Population,Labor Force,Labor Force %,Employed,Employment of Tot Pop %,Unemployed,Unemployment Rate,Date
Texas,8974000,5739119,64.0,5407584,60.3,331535,5.8,1976-07-01
Utah,837000,528720,63.2,499743,59.7,28977,5.5,1976-07-01
Vermont,343000,216844,63.2,198770,58.0,18074,8.3,1976-07-01
Virginia,3583000,2343598,65.4,2207139,61.6,136459,5.8,1976-07-01
Washington,2636000,1618080,61.4,1474961,56.0,143119,8.8,1976-07-01
West Virginia,1369000,695860,50.8,644584,47.1,51276,7.4,1976-07-01
Wisconsin,3267000,2146728,65.7,2031358,62.2,115370,5.4,1976-07-01
Wyoming,276000,180577,65.4,173470,62.9,7107,3.9,1976-07-01
Alabama,2641000,1502397,56.9,1400824,53.0,101573,6.8,1976-08-01
Alaska,243000,166528,68.5,153864,63.3,12664,7.6,1976-08-01
Arizona,1658000,993223,59.9,900283,54.3,92940,9.4,1976-08-01
Arkansas,1548000,894719,57.8,834576,53.9,60143,6.7,1976-08-01
California,15879000,9950583,62.7,9044297,57.0,906286,9.1,1976-08-01
Los Angeles County,5335000,3406205,63.8,3105108,58.2,301097,8.8,1976-08-01
Colorado,1865000,1240888,66.5,1166968,62.6,73920,6.0,1976-08-01
Connecticut,2263000,1465194,64.7,1330591,58.8,134603,9.2,1976-08-01
Delaware,422000,265641,62.9,240547,57.0,25094,9.4,1976-08-01
District of Columbia,517000,332802,64.4,303227,58.7,29575,8.9,1976-08-01
Florida,6532000,3608167,55.2,3291137,50.4,317030,8.8,1976-08-01
Georgia,3567000,2284323,64.0,2102593,58.9,181730,8.0,1976-08-01
Hawaii,594000,410176,69.1,373163,62.8,37013,9.0,1976-08-01
Idaho,592000,376375,63.6,355153,60.0,21222,5.6,1976-08-01
Illinois,8192000,5159514,63.0,4817462,58.8,342052,6.6,1976-08-01
Indiana,3819000,2446534,64.1,2308102,60.4,138432,5.7,1976-08-01
Iowa,2086000,1343674,64.4,1292323,62.0,51351,3.8,1976-08-01
Kansas,1651000,1076173,65.2,1031626,62.5,44547,4.1,1976-08-01
Kentucky,2494000,1495794,60.0,1416017,56.8,79777,5.3,1976-08-01
Louisiana,2718000,1536888,56.5,1428989,52.6,107899,7.0,1976-08-01
Maine,775000,477300,61.6,436719,56.4,40581,8.5,1976-08-01
Maryland,2984000,1921043,64.4,1791765,60.0,129278,6.7,1976-08-01
Massachusetts,4217000,2724895,64.6,2473326,58.7,251569,9.2,1976-08-01
Michigan,6462000,4014317,62.1,3650144,56.5,364173,9.1,1976-08-01
Minnesota,2819000,1860375,66.0,1754797,62.2,105578,5.7,1976-08-01
Mississippi,1662000,975202,58.7,913230,54.9,61972,6.4,1976-08-01
Missouri,3493000,2142316,61.3,2006941,57.5,135375,6.3,1976-08-01
Montana,538000,330148,61.4,310336,57.7,19812,6.0,1976-08-01
Nebraska,1103000,720621,65.3,698032,63.3,22589,3.1,1976-08-01
Nevada,466000,332310,71.3,303615,65.2,28695,8.6,1976-08-01
New Hampshire,604000,400582,66.3,375185,62.1,25397,6.3,1976-08-01
New Jersey,5389000,3323094,61.7,2975450,55.2,347644,10.5,1976-08-01
New Mexico,813000,484771,59.6,441951,54.4,42820,8.8,1976-08-01
New York,13231000,7711955,58.3,6922698,52.3,789257,10.2,1976-08-01
New York city,5677000,3104484,54.7,2758293,48.6,346191,11.2,1976-08-01
North Carolina,3948000,2619902,66.4,2463670,62.4,156232,6.0,1976-08-01
North Dakota,448000,280450,62.6,269615,60.2,10835,3.9,1976-08-01
Ohio,7738000,4747542,61.4,4390667,56.7,356875,7.5,1976-08-01
Oklahoma,2027000,1189336,58.7,1122770,55.4,66566,5.6,1976-08-01
Oregon,1745000,1094762,62.7,995155,57.0,99607,9.1,1976-08-01
Pennsylvania,8816000,5133739,58.2,4733149,53.7,400590,7.8,1976-08-01
Rhode Island,697000,437500,62.8,401806,57.6,35694,8.2,1976-08-01
South Carolina,2014000,1296450,64.4,1206523,59.9,89927,6.9,1976-08-01
South Dakota,482000,309901,64.3,299915,62.2,9986,3.2,1976-08-01
Tennessee,3122000,1876977,60.1,1764092,56.5,112885,6.0,1976-08-01
Texas,8997000,5755786,64.0,5426895,60.3,328891,5.7,1976-08-01
Utah,840000,531187,63.2,502237,59.8,28950,5.5,1976-08-01
Vermont,344000,217539,63.2,199763,58.1,17776,8.2,1976-08-01
Virginia,3590000,2346485,65.4,2209333,61.5,137152,5.8,1976-08-01
Washington,2643000,1632326,61.8,1486462,56.2,145864,8.9,1976-08-01
West Virginia,1371000,693315,50.6,644460,47.0,48855,7.0,1976-08-01
Wisconsin,3272000,2152299,65.8,2036363,62.2,115936,5.4,1976-08-01
Wyoming,277000,181678,65.6,174649,63.1,7029,3.9,1976-08-01
Alabama,2645000,1507195,57.0,1403488,53.1,103707,6.9,1976-09-01
Alaska,243000,167315,68.9,154146,63.4,13169,7.9,1976-09-01
Arizona,1665000,997610,59.9,904382,54.3,93228,9.3,1976-09-01
Arkansas,1552000,898178,57.9,838703,54.0,59475,6.6,1976-09-01
California,15916000,9986516,62.7,9065302,57.0,921214,9.2,1976-09-01
Los Angeles County,5341000,3410178,63.8,3104688,58.1,305490,9.0,1976-09-01
Colorado,1870000,1247308,66.7,1171424,62.6,75884,6.1,1976-09-01
Connecticut,2265000,1466342,64.7,1334686,58.9,131656,9.0,1976-09-01
Delaware,422000,266225,63.1,240675,57.0,25550,9.6,1976-09-01
District of Columbia,516000,331749,64.3,301823,58.5,29926,9.0,1976-09-01
Florida,6549000,3609567,55.1,3291006,50.3,318561,8.8,1976-09-01
Georgia,3574000,2291968,64.1,2107937,59.0,184031,8.0,1976-09-01
Hawaii,596000,410045,68.8,373983,62.7,36062,8.8,1976-09-01
Idaho,594000,378402,63.7,357094,60.1,21308,5.6,1976-09-01
Illinois,8200000,5161664,62.9,4819299,58.8,342365,6.6,1976-09-01
Indiana,3823000,2449803,64.1,2310374,60.4,139429,5.7,1976-09-01
Iowa,2089000,1347685,64.5,1296091,62.0,51594,3.8,1976-09-01
Kansas,1653000,1078836,65.3,1034308,62.6,44528,4.1,1976-09-01
Kentucky,2499000,1496632,59.9,1417964,56.7,78668,5.3,1976-09-01
Louisiana,2723000,1538809,56.5,1430467,52.5,108342,7.0,1976-09-01
Maine,777000,477675,61.5,436709,56.2,40966,8.6,1976-09-01
Maryland,2988000,1924391,64.4,1795002,60.1,129389,6.7,1976-09-01
Massachusetts,4220000,2726270,64.6,2478825,58.7,247445,9.1,1976-09-01
Michigan,6470000,4019823,62.1,3658709,56.5,361114,9.0,1976-09-01
Minnesota,2823000,1867208,66.1,1759571,62.3,107637,5.8,1976-09-01
Mississippi,1665000,976927,58.7,913422,54.9,63505,6.5,1976-09-01
Missouri,3497000,2150007,61.5,2011687,57.5,138320,6.4,1976-09-01
Montana,539000,332042,61.6,312065,57.9,19977,6.0,1976-09-01
Nebraska,1104000,722566,65.4,699705,63.4,22861,3.2,1976-09-01
Nevada,469000,333660,71.1,304702,65.0,28958,8.7,1976-09-01
New Hampshire,606000,402257,66.4,376996,62.2,25261,6.3,1976-09-01
New Jersey,5394000,3327480,61.7,2978004,55.2,349476,10.5,1976-09-01
New Mexico,815000,487267,59.8,444136,54.5,43131,8.9,1976-09-01
New York,13233000,7702135,58.2,6912814,52.2,789321,10.2,1976-09-01
New York city,5672000,3096874,54.6,2752637,48.5,344237,11.1,1976-09-01
North Carolina,3955000,2621444,66.3,2461795,62.2,159649,6.1,1976-09-01
North Dakota,448000,281118,62.7,270024,60.3,11094,3.9,1976-09-01
Ohio,7745000,4749246,61.3,4393809,56.7,355437,7.5,1976-09-01
Oklahoma,2030000,1191335,58.7,1125548,55.4,65787,5.5,1976-09-01
Oregon,1751000,1102269,63.0,1001249,57.2,101020,9.2,1976-09-01
Pennsylvania,8822000,5137094,58.2,4739425,53.7,397669,7.7,1976-09-01
Rhode Island,698000,438160,62.8,401912,57.6,36248,8.3,1976-09-01
South Carolina,2018000,1298645,64.4,1208467,59.9,90178,6.9,1976-09-01
South Dakota,482000,310607,64.4,300260,62.3,10347,3.3,1976-09-01
Tennessee,3129000,1886495,60.3,1770818,56.6,115677,6.1,1976-09-01
Texas,9021000,5770305,64.0,5443387,60.3,326918,5.7,1976-09-01
Utah,842000,533344,63.3,504388,59.9,28956,5.4,1976-09-01
Vermont,345000,218206,63.2,200706,58.2,17500,8.0,1976-09-01
Virginia,3598000,2348914,65.3,2211644,61.5,137270,5.8,1976-09-01
Washington,2650000,1646384,62.1,1497953,56.5,148431,9.0,1976-09-01
West Virginia,1374000,691711,50.3,645060,46.9,46651,6.7,1976-09-01
Wisconsin,3276000,2156519,65.8,2040019,62.3,116500,5.4,1976-09-01
Wyoming,278000,182760,65.7,175766,63.2,6994,3.8,1976-09-01
Alabama,2650000,1512273,57.1,1406391,53.1,105882,7.0,1976-10-01
Alaska,244000,167786,68.8,154152,63.2,13634,8.1,1976-10-01
Arizona,1671000,1001958,60.0,908289,54.4,93669,9.3,1976-10-01
Arkansas,1555000,901736,58.0,842429,54.2,59307,6.6,1976-10-01
California,15954000,10021070,62.8,9087546,57.0,933524,9.3,1976-10-01
Los Angeles County,5346000,3413203,63.8,3104514,58.1,308689,9.0,1976-10-01
Colorado,1876000,1254476,66.9,1176908,62.7,77568,6.2,1976-10-01
Connecticut,2267000,1466512,64.7,1338099,59.0,128413,8.8,1976-10-01
Delaware,423000,266885,63.1,240999,57.0,25886,9.7,1976-10-01
District of Columbia,516000,330917,64.1,300722,58.3,30195,9.1,1976-10-01
Florida,6567000,3610341,55.0,3289260,50.1,321081,8.9,1976-10-01
Georgia,3582000,2299129,64.2,2112216,59.0,186913,8.1,1976-10-01
Hawaii,597000,410397,68.7,374963,62.8,35434,8.6,1976-10-01
Idaho,595000,380331,63.9,358882,60.3,21449,5.6,1976-10-01
Illinois,8209000,5162302,62.9,4822883,58.8,339419,6.6,1976-10-01
Indiana,3828000,2451113,64.0,2309792,60.3,141321,5.8,1976-10-01
Iowa,2091000,1351904,64.7,1299667,62.2,52237,3.9,1976-10-01
Kansas,1655000,1081610,65.4,1036798,62.6,44812,4.1,1976-10-01
Kentucky,2503000,1498091,59.9,1420505,56.8,77586,5.2,1976-10-01
Louisiana,2729000,1539587,56.4,1431362,52.5,108225,7.0,1976-10-01
Maine,778000,478254,61.5,436721,56.1,41533,8.7,1976-10-01
Maryland,2993000,1928737,64.4,1798409,60.1,130328,6.8,1976-10-01
Massachusetts,4224000,2727715,64.6,2483762,58.8,243953,8.9,1976-10-01
Michigan,6477000,4025048,62.1,3664565,56.6,360483,9.0,1976-10-01
Minnesota,2827000,1873748,66.3,1764368,62.4,109380,5.8,1976-10-01
Mississippi,1667000,978191,58.7,913363,54.8,64828,6.6,1976-10-01
Missouri,3501000,2155677,61.6,2014721,57.5,140956,6.5,1976-10-01
Montana,540000,334208,61.9,314062,58.2,20146,6.0,1976-10-01
Nebraska,1105000,724723,65.6,701674,63.5,23049,3.2,1976-10-01
Nevada,471000,334967,71.1,305782,64.9,29185,8.7,1976-10-01
New Hampshire,608000,403897,66.4,378609,62.3,25288,6.3,1976-10-01
New Jersey,5398000,3333000,61.7,2980622,55.2,352378,10.6,1976-10-01
New Mexico,818000,490190,59.9,446616,54.6,43574,8.9,1976-10-01
New York,13234000,7688549,58.1,6901865,52.2,786684,10.2,1976-10-01
New York city,5666000,3087989,54.5,2747113,48.5,340876,11.0,1976-10-01
North Carolina,3963000,2621194,66.1,2458088,62.0,163106,6.2,1976-10-01
North Dakota,449000,281650,62.7,270311,60.2,11339,4.0,1976-10-01
Ohio,7752000,4756134,61.4,4398147,56.7,357987,7.5,1976-10-01
Oklahoma,2034000,1193855,58.7,1128675,55.5,65180,5.5,1976-10-01
Oregon,1756000,1109712,63.2,1007315,57.4,102397,9.2,1976-10-01
Pennsylvania,8828000,5142875,58.3,4743412,53.7,399463,7.8,1976-10-01
Rhode Island,699000,439074,62.8,402211,57.5,36863,8.4,1976-10-01
South Carolina,2023000,1300986,64.3,1210147,59.8,90839,7.0,1976-10-01
South Dakota,483000,311465,64.5,300795,62.3,10670,3.4,1976-10-01
Tennessee,3135000,1893764,60.4,1775429,56.6,118335,6.2,1976-10-01
Texas,9044000,5785215,64.0,5458404,60.4,326811,5.6,1976-10-01
Utah,845000,535313,63.4,506233,59.9,29080,5.4,1976-10-01
Vermont,345000,218913,63.5,201608,58.4,17305,7.9,1976-10-01
Virginia,3605000,2351902,65.2,2214527,61.4,137375,5.8,1976-10-01
Washington,2657000,1658773,62.4,1507876,56.8,150897,9.1,1976-10-01
West Virginia,1376000,692129,50.3,646500,47.0,45629,6.6,1976-10-01
Wisconsin,3281000,2159523,65.8,2042602,62.3,116921,5.4,1976-10-01
Wyoming,279000,183877,65.9,176869,63.4,7008,3.8,1976-10-01
Alabama,2654000,1518265,57.2,1409707,53.1,108558,7.2,1976-11-01
Alaska,244000,168112,68.9,154038,63.1,14074,8.4,1976-11-01
Arizona,1678000,1006303,60.0,912353,54.4,93950,9.3,1976-11-01
Arkansas,1558000,905458,58.1,845924,54.3,59534,6.6,1976-11-01
California,15991000,10056309,62.9,9115173,57.0,941136,9.4,1976-11-01
Los Angeles County,5351000,3416071,63.8,3106077,58.0,309994,9.1,1976-11-01
Colorado,1881000,1261663,67.1,1182382,62.9,79281,6.3,1976-11-01
Connecticut,2270000,1466636,64.6,1341376,59.1,125260,8.5,1976-11-01
Delaware,424000,267699,63.1,241581,57.0,26118,9.8,1976-11-01
District of Columbia,515000,330384,64.2,300006,58.3,30378,9.2,1976-11-01
Florida,6584000,3611946,54.9,3288007,49.9,323939,9.0,1976-11-01
Georgia,3590000,2305572,64.2,2116165,58.9,189407,8.2,1976-11-01
Hawaii,599000,411212,68.6,376165,62.8,35047,8.5,1976-11-01
Idaho,597000,382213,64.0,360540,60.4,21673,5.7,1976-11-01
Illinois,8218000,5163967,62.8,4830097,58.8,333870,6.5,1976-11-01
Indiana,3833000,2450735,63.9,2307827,60.2,142908,5.8,1976-11-01
Iowa,2093000,1356197,64.8,1303223,62.3,52974,3.9,1976-11-01
Kansas,1658000,1084558,65.4,1039285,62.7,45273,4.2,1976-11-01
Kentucky,2507000,1501132,59.9,1424211,56.8,76921,5.1,1976-11-01
Louisiana,2734000,1540432,56.3,1432371,52.4,108061,7.0,1976-11-01
Maine,780000,479045,61.4,436837,56.0,42208,8.8,1976-11-01
Maryland,2997000,1934119,64.5,1802323,60.1,131796,6.8,1976-11-01
Massachusetts,4227000,2729521,64.6,2488634,58.9,240887,8.8,1976-11-01
Michigan,6485000,4030981,62.2,3669679,56.6,361302,9.0,1976-11-01
Minnesota,2831000,1879929,66.4,1769422,62.5,110507,5.9,1976-11-01
Mississippi,1670000,979334,58.6,913286,54.7,66048,6.7,1976-11-01
Missouri,3505000,2159828,61.6,2017377,57.6,142451,6.6,1976-11-01
Montana,542000,336362,62.1,316059,58.3,20303,6.0,1976-11-01
Nebraska,1106000,727025,65.7,703839,63.6,23186,3.2,1976-11-01
Nevada,474000,336500,71.0,307230,64.8,29270,8.7,1976-11-01
New Hampshire,610000,405574,66.5,380131,62.3,25443,6.3,1976-11-01
New Jersey,5403000,3340512,61.8,2984304,55.2,356208,10.7,1976-11-01
New Mexico,820000,493404,60.2,449423,54.8,43981,8.9,1976-11-01
New York,13235000,7675643,58.0,6894001,52.1,781642,10.2,1976-11-01
New York city,5660000,3079964,54.4,2742843,48.5,337121,10.9,1976-11-01
North Carolina,3971000,2620587,66.0,2454684,61.8,165903,6.3,1976-11-01
North Dakota,449000,282162,62.8,270530,60.3,11632,4.1,1976-11-01
Ohio,7759000,4766906,61.4,4404513,56.8,362393,7.6,1976-11-01
Oklahoma,2038000,1197127,58.7,1132416,55.6,64711,5.4,1976-11-01
Oregon,1761000,1116657,63.4,1013272,57.5,103385,9.3,1976-11-01
Pennsylvania,8835000,5151900,58.3,4746421,53.7,405479,7.9,1976-11-01
Rhode Island,700000,440216,62.9,402792,57.5,37424,8.5,1976-11-01
South Carolina,2027000,1303828,64.3,1211696,59.8,92132,7.1,1976-11-01
South Dakota,483000,312408,64.7,301469,62.4,10939,3.5,1976-11-01
Tennessee,3142000,1899808,60.5,1778618,56.6,121190,6.4,1976-11-01
Texas,9067000,5802339,64.0,5473608,60.4,328731,5.7,1976-11-01
Utah,847000,537110,63.4,507863,60.0,29247,5.4,1976-11-01
Vermont,346000,219711,63.5,202505,58.5,17206,7.8,1976-11-01
Virginia,3612000,2356042,65.2,2218468,61.4,137574,5.8,1976-11-01
Washington,2664000,1668192,62.6,1515113,56.9,153079,9.2,1976-11-01
West Virginia,1378000,694617,50.4,648788,47.1,45829,6.6,1976-11-01
Wisconsin,3286000,2162094,65.8,2044548,62.2,117546,5.4,1976-11-01
Wyoming,280000,185035,66.1,177991,63.6,7044,3.8,1976-11-01
Alabama,2659000,1525568,57.4,1413734,53.2,111834,7.3,1976-12-01
Alaska,245000,168532,68.8,153983,62.9,14549,8.6,1976-12-01
Arizona,1684000,1010700,60.0,916965,54.5,93735,9.3,1976-12-01
Arkansas,1561000,909232,58.2,849277,54.4,59955,6.6,1976-12-01
California,16029000,10093699,63.0,9151973,57.1,941726,9.3,1976-12-01
Los Angeles County,5356000,3419475,63.8,3110815,58.1,308660,9.0,1976-12-01
Colorado,1887000,1268361,67.2,1187185,62.9,81176,6.4,1976-12-01
Connecticut,2272000,1467455,64.6,1345228,59.2,122227,8.3,1976-12-01
Delaware,424000,268702,63.4,242498,57.2,26204,9.8,1976-12-01
District of Columbia,515000,330202,64.1,299736,58.2,30466,9.2,1976-12-01
Florida,6602000,3616376,54.8,3289929,49.8,326447,9.0,1976-12-01
Georgia,3597000,2310617,64.2,2120759,59.0,189858,8.2,1976-12-01
Hawaii,600000,412337,68.7,377575,62.9,34762,8.4,1976-12-01
Idaho,599000,384086,64.1,362126,60.5,21960,5.7,1976-12-01
Illinois,8226000,5169396,62.8,4842649,58.9,326747,6.3,1976-12-01
Indiana,3837000,2449848,63.8,2306491,60.1,143357,5.9,1976-12-01
Iowa,2095000,1360512,64.9,1306982,62.4,53530,3.9,1976-12-01
Kansas,1660000,1087670,65.5,1042019,62.8,45651,4.2,1976-12-01
Kentucky,2511000,1506093,60.0,1429442,56.9,76651,5.1,1976-12-01
Louisiana,2740000,1542754,56.3,1434769,52.4,107985,7.0,1976-12-01
Maine,781000,479906,61.4,437133,56.0,42773,8.9,1976-12-01
Maryland,3002000,1940048,64.6,1807161,60.2,132887,6.8,1976-12-01
Massachusetts,4231000,2732178,64.6,2494193,59.0,237985,8.7,1976-12-01
Michigan,6493000,4037844,62.2,3676377,56.6,361467,9.0,1976-12-01
Minnesota,2835000,1885780,66.5,1774870,62.6,110910,5.9,1976-12-01
Mississippi,1673000,980687,58.6,913359,54.6,67328,6.9,1976-12-01
Missouri,3509000,2163567,61.7,2021522,57.6,142045,6.6,1976-12-01
Montana,543000,338284,62.3,317850,58.5,20434,6.0,1976-12-01
Nebraska,1107000,729311,65.9,706015,63.8,23296,3.2,1976-12-01
Nevada,476000,338319,71.1,309221,65.0,29098,8.6,1976-12-01
New Hampshire,612000,407358,66.6,381741,62.4,25617,6.3,1976-12-01
New Jersey,5407000,3349255,61.9,2990493,55.3,358762,10.7,1976-12-01
New Mexico,823000,496647,60.3,452508,55.0,44139,8.9,1976-12-01
New York,13237000,7669179,57.9,6893647,52.1,775532,10.1,1976-12-01
New York city,5654000,3073767,54.4,2740868,48.5,332899,10.8,1976-12-01
North Carolina,3978000,2621032,65.9,2454099,61.7,166933,6.4,1976-12-01
North Dakota,450000,282737,62.8,270773,60.2,11964,4.2,1976-12-01
Ohio,7766000,4778882,61.5,4414046,56.8,364836,7.6,1976-12-01
Oklahoma,2041000,1201436,58.9,1136974,55.7,64462,5.4,1976-12-01
Oregon,1766000,1122897,63.6,1019266,57.7,103631,9.2,1976-12-01
Pennsylvania,8841000,5162158,58.4,4750182,53.7,411976,8.0,1976-12-01
Rhode Island,701000,441431,63.0,403615,57.6,37816,8.6,1976-12-01
South Carolina,2032000,1307111,64.3,1213389,59.7,93722,7.2,1976-12-01
South Dakota,484000,313261,64.7,302143,62.4,11118,3.5,1976-12-01
Tennessee,3148000,1905599,60.5,1781712,56.6,123887,6.5,1976-12-01
Texas,9091000,5821892,64.0,5490841,60.4,331051,5.7,1976-12-01
Utah,850000,538754,63.4,509397,59.9,29357,5.4,1976-12-01
Vermont,347000,220626,63.6,203448,58.6,17178,7.8,1976-12-01
Virginia,3620000,2361415,65.2,2223892,61.4,137523,5.8,1976-12-01
Washington,2671000,1674146,62.7,1519467,56.9,154679,9.2,1976-12-01
West Virginia,1381000,698445,50.6,651700,47.2,46745,6.7,1976-12-01
Wisconsin,3290000,2164612,65.8,2046702,62.2,117910,5.4,1976-12-01
Wyoming,281000,186250,66.3,179158,63.8,7092,3.8,1976-12-01
Alabama,2663000,1534383,57.6,1418860,53.3,115523,7.5,1977-01-01
Alaska,245000,169181,69.1,154120,62.9,15061,8.9,1977-01-01
Arizona,1690000,1015516,60.1,922428,54.6,93088,9.2,1977-01-01
Arkansas,1565000,912948,58.3,852573,54.5,60375,6.6,1977-01-01
California,16066000,10135878,63.1,9199971,57.3,935907,9.2,1977-01-01
Los Angeles County,5362000,3424738,63.9,3119839,58.2,304899,8.9,1977-01-01
Colorado,1892000,1274428,67.4,1191307,63.0,83121,6.5,1977-01-01
Connecticut,2274000,1469625,64.6,1350365,59.4,119260,8.1,1977-01-01
Delaware,425000,269870,63.5,243757,57.4,26113,9.7,1977-01-01
District of Columbia,515000,330333,64.1,299853,58.2,30480,9.2,1977-01-01
Florida,6619000,3626043,54.8,3297602,49.8,328441,9.1,1977-01-01
Georgia,3605000,2314596,64.2,2126893,59.0,187703,8.1,1977-01-01
Hawaii,601000,413616,68.8,379133,63.1,34483,8.3,1977-01-01
Idaho,601000,385903,64.2,363669,60.5,22234,5.8,1977-01-01
Illinois,8235000,5181856,62.9,4861433,59.0,320423,6.2,1977-01-01
Indiana,3842000,2450849,63.8,2307840,60.1,143009,5.8,1977-01-01
Iowa,2098000,1364841,65.1,1311092,62.5,53749,3.9,1977-01-01
Kansas,1662000,1090992,65.6,1045175,62.9,45817,4.2,1977-01-01
Kentucky,2516000,1512702,60.1,1436071,57.1,76631,5.1,1977-01-01
Louisiana,2745000,1547949,56.4,1439858,52.5,108091,7.0,1977-01-01
Maine,782000,480715,61.5,437681,56.0,43034,9.0,1977-01-01
Maryland,3006000,1946311,64.7,1813119,60.3,133192,6.8,1977-01-01
Massachusetts,4234000,2736372,64.6,2501143,59.1,235229,8.6,1977-01-01
Michigan,6501000,4046562,62.2,3686679,56.7,359883,8.9,1977-01-01
Minnesota,2839000,1891668,66.6,1780883,62.7,110785,5.9,1977-01-01
Mississippi,1676000,982645,58.6,913814,54.5,68831,7.0,1977-01-01
Missouri,3513000,2169076,61.7,2028693,57.7,140383,6.5,1977-01-01
Montana,544000,340045,62.5,319466,58.7,20579,6.1,1977-01-01
Nebraska,1108000,731511,66.0,708070,63.9,23441,3.2,1977-01-01
Nevada,478000,340412,71.2,311743,65.2,28669,8.4,1977-01-01
New Hampshire,614000,409306,66.7,383572,62.5,25734,6.3,1977-01-01
New Jersey,5411000,3358839,62.1,3000405,55.5,358434,10.7,1977-01-01
New Mexico,825000,499717,60.6,455837,55.3,43880,8.8,1977-01-01
New York,13238000,7673859,58.0,6903917,52.2,769942,10.0,1977-01-01
New York city,5649000,3069810,54.3,2741475,48.5,328335,10.7,1977-01-01
North Carolina,3986000,2624989,65.9,2458498,61.7,166491,6.3,1977-01-01
North Dakota,450000,283410,63.0,271131,60.3,12279,4.3,1977-01-01
Ohio,7773000,4790642,61.6,4427206,57.0,363436,7.6,1977-01-01
Oklahoma,2045000,1207089,59.0,1142411,55.9,64678,5.4,1977-01-01
Oregon,1772000,1128671,63.7,1025657,57.9,103014,9.1,1977-01-01
Pennsylvania,8847000,5172352,58.5,4756572,53.8,415780,8.0,1977-01-01
Rhode Island,701000,442452,63.1,404540,57.7,37912,8.6,1977-01-01
South Carolina,2036000,1310962,64.4,1215633,59.7,95329,7.3,1977-01-01
South Dakota,484000,313955,64.9,302761,62.6,11194,3.6,1977-01-01
Tennessee,3154000,1912142,60.6,1786066,56.6,126076,6.6,1977-01-01
Texas,9114000,5843715,64.1,5511563,60.5,332152,5.7,1977-01-01
Utah,852000,540348,63.4,510947,60.0,29401,5.4,1977-01-01
Vermont,348000,221659,63.7,204503,58.8,17156,7.7,1977-01-01
Virginia,3627000,2368365,65.3,2231138,61.5,137227,5.8,1977-01-01
Washington,2678000,1677365,62.6,1521761,56.8,155604,9.3,1977-01-01
West Virginia,1383000,702587,50.8,654711,47.3,47876,6.8,1977-01-01
